idFilm;idAktor
58;73
56;292
43;40
19;157
45;246
22;445
34;232
65;360
8;3
16;102
51;368
65;270
42;313
44;217
24;405
40;371
15;429
22;471
26;45
69;217
56;149
33;495
34;411
64;276
60;241
51;360
41;460
59;258
9;212
1;167
35;490
25;166
35;350
14;484
39;463
34;191
37;288
14;477
1;428
35;427
33;255
57;283
26;452
5;33
13;50
52;286
68;179
27;478
0;377
64;102
6;420
5;153
29;165
6;244
35;137
1;247
20;364
29;138
61;30
39;437
67;394
50;150
62;393
42;213
56;55
18;131
65;155
46;456
8;195
55;162
9;387
29;260
34;470
43;173
65;24
18;362
20;269
64;291
25;167
51;474
8;369
10;437
11;365
50;56
8;146
28;438
40;397
56;423
28;358
24;147
52;396
15;419
7;277
22;312
33;73
5;428
10;226
54;241
65;453
60;127
56;218
40;493
7;467
58;339
1;229
42;99
68;75
34;425
54;147
23;413
55;327
7;369
20;267
49;133
28;404
3;372
30;308
32;214
46;93
35;163
36;217
67;264
23;116
62;39
33;319
25;200
50;225
9;193
25;24
25;193
3;353
19;361
15;373
27;454
59;45
56;128
29;310
21;323
1;119
53;70
22;80
47;116
31;203
31;358
53;346
9;478
9;42
21;347
23;4
5;339
64;441
40;197
67;28
56;86
61;48
36;323
39;230
1;412
38;379
11;461
21;185
59;207
65;435
22;414
17;120
5;229
11;234
13;417
44;47
9;220
43;138
3;24
13;189
5;452
11;406
39;314
60;378
40;427
24;192
67;228
4;97
4;404
0;371
55;324
8;115
12;90
54;92
32;367
27;228
57;165
47;85
36;101
27;27
43;416
31;158
16;277
50;470
33;388
33;301
43;151
48;117
35;434
50;294
15;75
14;451
59;238
45;122
11;265
44;157
31;126
16;403
3;143
18;147
12;42
21;217
67;452
47;65
67;478
6;201
5;141
8;66
38;267
29;191
16;403
47;420
45;313
53;211
31;283
55;406
63;146
18;420
5;461
33;193
56;30
10;205
46;194
57;244
53;374
65;252
51;270
59;83
21;45
51;172
3;105
22;176
42;222
0;30
8;72
1;470
22;307
11;399
3;30
50;408
63;31
61;444
48;424
47;40
68;73
13;462
45;71
13;296
17;323
37;11
66;191
20;157
59;421
11;254
7;19
66;467
55;164
10;79
64;368
64;163
37;183
60;66
42;163
41;358
13;242
61;362
66;18
39;212
19;445
44;458
7;120
1;97
32;306
24;162
6;467
54;13
24;211
2;299
67;12
52;496
65;39
38;16
34;329
29;225
0;26
23;427
30;159
59;309
17;300
45;444
66;402
65;86
23;9
20;272
52;348
49;140
29;133
58;496
17;350
38;194
61;459
0;131
61;139
33;81
42;267
68;83
15;435
4;26
44;21
55;399
35;460
12;269
11;390
42;458
26;202
69;176
12;251
69;67
10;161
6;443
65;240
51;115
48;263
43;259
50;331
50;228
44;80
30;32
45;336
38;37
30;183
43;491
29;472
32;269
52;114
9;295
62;69
5;344
19;407
9;114
39;130
55;496
19;192
16;315
61;35
25;59
1;270
24;53
37;141
20;285
57;73
33;483
34;468
16;246
38;169
9;129
7;47
64;146
45;217
31;18
40;191
23;188
32;24
29;317
5;79
34;48
40;363
68;170
38;99
62;243
62;306
66;66
11;155
68;351
14;341
22;186
30;78
3;29
66;105
