id;nazwa;dlugoscTrwania;dataDodania;cena
0;Nietykalni;101;01.07.2012;219
1;Forrest Gump;78;01.09.2012;83
2;¯ycie jest piêkne;113;01.11.2012;125
3;Green Book;105;01.01.2013;203
4;Œwiat³a wielkiego miasta;129;01.03.2013;196
5;Piêtro wy¿ej;80;01.05.2013;109
6;Brzd¹c;142;01.07.2013;286
7;Dzisiejsze czasy;134;01.09.2013;166
8;Rain Man;94;01.11.2013;126
9;Monty Python i Œwiêty Graal;62;01.01.2014;149
10;Zwierzogród ;63;01.03.2014;147
11;Noc na Ziemi;84;01.05.2014;145
12;¯ywot Briana;60;01.07.2014;128
13;Mary i Max;114;01.09.2014;239
14;Czas Cyganów;72;01.11.2014;188
15;Pó³ ¿artem, pó³ serio;136;01.01.2015;126
16;Sens ¿ycia wg Monty Pythona;89;01.03.2015;298
17;Deszczowa piosenka ;124;01.05.2015;247
18;A teraz coœ z zupe³nie innej beczki ;84;01.07.2015;168
19;Underground;68;01.09.2015;238
20;Cudowny ch³opak;69;01.11.2015;283
21;Amarcord;72;02.11.2015;104
22;Jak rozpêta³em drug¹ wojnê œwiatow¹ ;107;03.11.2015;156
23;Ich noce;80;04.11.2015;183
24;Kawa i papierosy III;144;05.11.2015;279
25;Ch³opaki nie p³acz¹;112;06.11.2015;72
26;Kowboj Bebop: Pukaj¹c do nieba bram ;65;07.11.2015;291
27;Genera³;112;08.11.2015;171
28;Wyspa psów;122;09.11.2015;201
29;Zelig;118;20.12.2015;215
30;Gor¹czka z³ota;83;30.01.2016;139
31;Miœ;97;11.03.2016;163
32;By³ sobie pies ;134;21.04.2016;89
33;Shrek;118;01.06.2016;90
34;Seksmisja;102;12.07.2016;213
35;Paperman;125;22.08.2016;141
36;Dzieñ œwira;115;02.10.2016;212
37;Lekarstwo na mi³oœæ;80;12.11.2016;282
38;Jutro bêdziemy szczêœliwi;69;23.12.2016;264
39;Grand Budapest Hotel;97;02.02.2017;208
40;Grand Budapest Hotel;92;15.03.2017;98
41;Dym;141;25.04.2017;217
42;Wielka w³óczêga;70;05.06.2017;99
43;Oko w oko z ¿yciem;64;16.07.2017;84
44;Kiler;68;26.08.2017;70
45;Wielka Szóstka;130;06.10.2017;147
46;Garsoniera;72;01.11.2017;190
47;Mi³oœæ i œmieræ;75;27.11.2017;193
48;Zaburzenie czêœciowe;124;23.12.2017;102
49;Wielkie piêkno;104;18.01.2018;234
50;Dobrze siê k³amie w mi³ym towarzystwie;139;13.02.2018;159
51;Noc po ciê¿kim dniu;140;11.03.2018;74
52;Poci¹g ¿ycia;140;06.04.2018;182
53;Benny i Joon;134;02.05.2018;147
54;Harold i Maude;81;28.05.2018;82
55;Gangsterzy i filantropi;86;23.06.2018;217
56;Sma¿one zielone pomidory;123;19.07.2018;125
57;Deadpool 2;105;14.08.2018;180
58;Ziemia niczyja;99;09.09.2018;140
59;Dyskretny urok bur¿uazji;106;05.10.2018;150
60;Kawa i papierosy;149;31.10.2018;254
61;Szarada;127;26.11.2018;140
62;Rocky Horror Picture Show;135;22.12.2018;254
63;Choæ goni nas czas;78;17.01.2019;231
64;Zapl¹tani;77;12.02.2019;177
65;Z³oto dla zuchwa³ych;111;10.03.2019;257
66;Brazil;127;05.04.2019;293
67;Mê¿czyzna imieniem Ove;134;01.05.2019;210
68;Sklep na rogu;106;27.05.2019;136
69;Patch Adams;101;22.06.2019;294
