id;idUzytkownika;dataWstawienia;wartoscOceny
0;86;01.09.2012;3
1;68;23.12.2017;5
2;20;09.11.2015;3
3;104;01.03.2015;1
4;124;01.03.2013;2
5;61;12.11.2016;4
6;66;05.11.2015;2
7;71;13.02.2018;5
8;64;02.11.2015;2
9;44;01.07.2014;4
10;122;12.02.2019;3
11;91;25.04.2017;3
12;122;13.02.2018;1
13;79;23.12.2017;5
14;30;01.05.2014;3
15;5;28.05.2018;1
16;99;02.11.2015;5
17;5;08.11.2015;1
18;108;13.02.2018;4
19;50;05.04.2019;5
20;126;27.11.2017;5
21;11;01.09.2013;4
22;72;10.03.2019;4
23;91;16.07.2017;3
24;91;10.03.2019;5
25;60;18.01.2018;1
26;40;07.11.2015;1
27;32;01.01.2015;5
28;21;01.09.2014;1
29;113;30.01.2016;4
30;95;25.04.2017;4
31;35;22.06.2019;4
32;121;01.07.2014;2
33;45;07.11.2015;5
34;52;31.10.2018;4
35;34;01.09.2012;2
36;46;01.03.2013;3
37;118;11.03.2016;1
38;67;03.11.2015;5
39;94;03.11.2015;4
40;102;06.11.2015;2
41;33;01.11.2013;1
42;90;01.05.2013;3
43;18;05.11.2015;3
44;115;16.07.2017;2
45;94;01.07.2013;4
46;6;05.11.2015;4
47;114;06.10.2017;1
48;60;23.12.2016;4
49;88;02.02.2017;4
50;78;20.12.2015;2
51;111;05.11.2015;5
52;8;05.04.2019;5
53;128;01.05.2013;1
54;13;12.02.2019;3
55;7;01.01.2013;5
56;37;23.06.2018;5
57;76;01.07.2013;5
58;94;02.10.2016;4
59;9;03.11.2015;4
60;64;30.01.2016;1
61;113;17.01.2019;1
62;43;07.11.2015;3
63;60;19.07.2018;4
64;31;09.11.2015;2
65;95;01.01.2014;2
66;20;01.11.2014;1
67;15;05.11.2015;5
68;97;01.09.2013;4
69;68;01.07.2014;1
70;86;01.03.2015;2
71;63;16.07.2017;2
72;52;05.11.2015;2
73;127;01.03.2013;5
74;22;01.11.2014;2
75;25;07.11.2015;1
76;110;10.03.2019;3
77;102;03.11.2015;5
78;87;09.11.2015;3
79;49;03.11.2015;5
80;92;12.07.2016;4
81;67;12.02.2019;4
82;46;22.12.2018;4
83;41;10.03.2019;1
84;113;02.05.2018;5
85;29;01.03.2015;3
86;48;17.01.2019;3
87;98;01.09.2013;4
88;116;01.09.2012;4
89;128;10.03.2019;5
90;79;23.12.2016;3
91;11;01.09.2015;3
92;94;05.11.2015;1
93;103;01.03.2015;2
94;87;28.05.2018;2
95;64;01.05.2014;1
96;5;01.03.2015;3
97;102;23.06.2018;2
98;3;30.01.2016;5
99;119;14.08.2018;1
100;86;01.09.2014;3
101;20;01.05.2013;4
102;80;15.03.2017;4
103;65;07.11.2015;5
104;86;01.07.2012;3
105;83;01.01.2014;4
106;76;01.07.2012;1
107;6;01.05.2014;2
108;42;01.11.2015;1
109;7;01.03.2014;1
110;80;04.11.2015;2
111;36;06.10.2017;5
112;56;05.10.2018;4
113;55;31.10.2018;1
114;64;01.05.2014;1
115;63;01.07.2015;1
116;28;16.07.2017;5
117;90;17.01.2019;3
118;111;28.05.2018;5
119;83;01.05.2019;5
120;116;01.05.2013;4
121;42;13.02.2018;5
122;72;21.04.2016;1
123;54;08.11.2015;2
124;35;09.11.2015;4
125;102;04.11.2015;2
126;29;01.07.2013;1
127;100;01.11.2013;4
128;120;01.07.2014;1
129;85;05.11.2015;2
130;4;05.11.2015;5
131;128;10.03.2019;3
132;1;01.05.2019;4
133;96;01.11.2013;1
134;78;05.11.2015;1
135;25;18.01.2018;2
136;104;01.11.2012;3
137;4;19.07.2018;2
138;48;26.08.2017;4
139;67;01.09.2012;3
140;11;06.04.2018;3
141;75;23.12.2016;4
142;5;27.05.2019;1
143;39;02.11.2015;1
144;82;01.07.2014;5
145;107;11.03.2018;1
146;73;07.11.2015;2
147;110;01.07.2014;3
148;127;22.08.2016;4
149;53;22.12.2018;4
150;104;21.04.2016;5
151;85;22.12.2018;1
152;98;02.02.2017;3
153;84;01.03.2013;2
154;127;01.07.2015;3
155;94;01.05.2015;3
156;96;05.10.2018;2
157;31;15.03.2017;4
158;64;01.01.2013;3
159;50;01.11.2017;3
160;75;01.09.2013;3
161;78;01.11.2014;3
162;120;02.10.2016;2
163;24;02.10.2016;5
164;93;05.04.2019;1
165;95;01.11.2015;4
166;115;22.08.2016;3
167;37;20.12.2015;1
168;101;01.06.2016;1
169;101;01.07.2014;4
170;50;01.09.2015;3
171;82;01.11.2014;3
172;53;01.03.2013;1
173;54;01.07.2015;5
174;125;08.11.2015;5
175;11;02.10.2016;3
176;36;06.04.2018;1
177;53;02.11.2015;1
178;98;01.09.2014;2
179;24;23.12.2017;3
180;3;01.09.2015;3
181;12;04.11.2015;4
182;90;05.06.2017;4
183;11;12.02.2019;1
184;106;01.03.2013;4
185;28;01.05.2014;5
186;98;22.08.2016;4
187;12;06.04.2018;3
188;57;17.01.2019;2
