idOceny;idFilmu
0;22
1;49
2;25
3;29
4;7
5;16
6;68
7;62
8;25
9;24
10;53
11;42
12;21
13;54
14;1
15;11
16;34
17;66
18;68
19;38
20;20
21;39
22;69
23;16
24;55
25;19
26;46
27;20
28;60
29;40
30;59
31;0
32;27
33;69
34;55
35;30
36;67
37;26
38;11
39;62
40;69
41;61
42;31
43;52
44;64
45;41
46;60
47;7
48;26
49;23
50;28
51;64
52;62
53;48
54;9
55;40
56;7
57;11
58;48
59;59
60;12
61;10
62;59
63;14
64;28
65;3
66;58
67;38
68;18
69;68
70;59
71;16
72;25
73;2
74;28
75;60
76;67
77;21
78;15
79;10
80;12
81;42
82;39
83;21
84;49
85;63
86;0
87;12
88;0
89;16
90;12
91;5
92;51
93;17
94;53
95;62
96;1
97;16
98;0
99;69
100;36
101;40
102;10
103;15
104;0
105;61
106;3
107;18
108;7
109;52
110;67
111;32
112;38
113;21
114;24
115;69
116;44
117;15
118;30
119;38
120;64
121;65
122;18
123;49
124;49
125;43
126;20
127;45
128;57
129;26
130;49
131;40
132;47
133;50
134;39
135;10
136;65
137;50
138;4
139;67
140;15
141;64
142;21
143;43
144;21
145;52
146;62
147;5
148;63
149;59
150;2
151;11
152;23
153;65
154;34
155;23
156;11
157;19
158;12
159;37
160;10
161;43
162;64
163;31
164;53
165;45
166;56
167;42
168;39
169;46
170;1
171;29
172;23
173;10
174;66
175;53
176;22
177;14
178;52
179;6
180;56
181;30
182;60
183;55
184;69
185;56
186;42
187;47
188;48
189;61
190;6
191;2
192;30
193;33
194;66
195;38
196;5
197;69
198;45
199;65
200;57
201;26
202;5
203;62
204;30
205;64
206;21
207;34
208;68
209;38
210;64
211;10
212;46
213;67
214;13
215;69
216;45
217;29
218;54
219;13
220;10
221;18
222;16
223;69
224;54
225;3
226;7
227;5
228;14
229;25
230;65
231;68
232;20
233;59
234;24
235;33
236;40
237;38
238;68
239;37
240;63
241;18
242;48
243;10
244;18
245;66
246;45
247;37
248;22
249;17
250;39
251;21
252;25
253;64
254;58
255;30
256;8
257;29
258;19
259;10
260;51
261;36
262;61
263;15
264;17
265;36
266;61
267;59
268;14
269;35
270;36
271;3
272;39
273;7
274;48
275;16
276;7
277;68
278;45
279;48
280;5
281;5
282;23
283;43
284;39
285;32
286;42
287;65
288;61
289;12
290;60
291;36
292;21
293;40
294;55
295;3
296;62
297;9
298;51
299;33
300;11
301;61
302;7
303;35
304;3
305;43
306;34
307;19
308;10
309;10
310;57
311;65
312;7
313;4
314;68
315;62
316;30
317;9
318;42
319;55
320;52
321;22
322;20
323;2
324;13
325;51
326;3
327;23
328;62
329;50
330;12
331;17
332;5
333;31
334;8
335;40
336;5
337;50
338;16
339;53
340;41
341;6
342;54
343;44
344;17
345;28
346;16
347;65
348;61
349;33
350;11
351;64
352;53
353;54
354;43
355;12
356;57
357;51
358;1
359;63
360;34
361;42
362;55
363;54
364;24
365;36
366;64
367;36
368;43
369;44
370;34
371;32
372;61
373;57
374;23
375;11
376;64
377;68
378;38
379;60
380;52
381;42
382;16
383;25
384;43
385;40
386;10
387;50
388;55
389;25
390;19
391;36
392;20
393;2
394;2
395;22
396;39
397;58
398;61
399;51
400;66
401;65
402;10
403;62
404;28
405;9
406;51
407;32
408;37
409;69
410;41
411;43
412;39
413;41
414;53
415;43
416;59
417;38
418;38
419;12
420;61
421;47
422;5
423;64
424;44
425;47
426;41
427;30
428;32
429;65
430;30
431;46
432;42
433;9
434;42
435;10
436;10
437;28
438;50
439;3
440;34
441;62
442;54
443;48
444;19
445;34
446;17
447;21
448;14
449;30
450;18
451;69
452;8
453;64
454;3
455;48
456;15
457;44
458;65
459;56
460;26
461;24
462;46
463;24
464;5
465;53
466;23
467;18
468;48
469;6
470;34
471;14
472;53
473;16
474;55
475;44
476;14
477;47
478;26
479;19
480;50
481;14
482;20
483;51
484;59
485;11
486;60
487;40
488;42
489;52
490;35
491;20
492;35
493;68
494;20
495;50
496;8
497;55
498;30
499;40
500;14
501;12
502;24
503;53
504;69
505;51
506;34
507;57
508;6
509;59
510;44
511;25
512;19
513;20
514;63
515;57
516;36
517;34
518;39
519;23
520;29
521;52
522;4
523;52
524;63
525;20
526;8
527;59
528;63
529;53
530;49
531;57
532;51
533;16
534;34
535;23
536;22
537;17
538;29
539;26
540;49
541;11
542;26
543;47
544;3
545;11
546;28
547;50
548;20
549;14
550;68
551;45
552;20
553;58
554;16
555;50
556;65
557;54
558;36
559;60
560;53
561;21
562;69
563;65
564;46
565;52
566;22
567;28
568;8
569;14
570;38
571;43
572;46
573;24
574;36
575;62
576;67
577;59
578;14
579;42
580;33
581;12
582;21
583;30
584;56
585;27
586;56
587;40
588;54
589;47
590;3
591;27
592;37
593;48
594;51
595;26
596;9
597;17
598;21
599;22
600;47
601;59
602;46
603;23
604;32
605;48
606;3
607;14
608;18
609;49
610;48
611;7
612;22
613;63
614;42
615;1
616;41
617;36
618;1
619;10
620;13
621;54
622;29
623;17
624;42
625;45
626;25
627;45
628;44
629;46
630;35
631;36
632;25
633;22
634;10
635;33
636;32
637;62
638;60
639;22
640;13
641;53
642;22
643;47
644;5
645;34
646;24
647;5
648;38
649;14
650;11
651;41
652;58
653;17
654;19
655;4
656;61
657;25
658;44
659;43
660;68
661;69
662;7
663;69
664;34
665;45
666;42
667;1
668;67
669;52
670;46
671;20
672;9
673;42
674;55
675;21
676;46
677;26
678;10
679;65
680;4
681;46
682;26
683;9
684;67
685;26
686;42
687;10
688;65
689;44
690;46
691;20
692;60
693;25
694;52
695;37
696;12
697;22
698;35
699;19
700;36
701;47
702;19
703;26
704;17
705;21
706;13
707;35
708;15
709;58
710;27
711;29
712;11
713;62
714;14
715;52
716;3
717;9
718;40
719;35
720;58
721;22
722;66
723;35
724;3
725;10
726;23
727;65
728;22
729;0
730;22
731;24
732;9
733;17
734;56
735;1
736;58
737;12
738;48
739;44
740;62
741;25
742;10
743;1
744;48
745;69
746;24
747;27
748;30
749;20
750;49
751;63
752;14
753;51
754;69
755;24
756;60
757;63
758;11
759;64
760;16
761;63
762;3
763;59
764;23
765;41
766;33
767;36
768;48
769;52
770;18
771;65
772;56
773;51
774;16
775;48
776;10
777;42
778;22
779;15
780;43
781;56
782;51
783;10
784;10
785;12
786;25
787;35
788;28
789;63
790;64
791;47
792;5
793;63
794;46
795;32
796;60
797;67
798;39
799;8
800;60
801;58
802;65
803;18
804;51
805;38
806;35
807;6
808;64
809;65
810;26
811;58
812;67
813;6
814;48
815;15
816;17
817;17
818;64
819;26
820;43
821;55
822;51
823;37
824;68
825;2
826;9
827;65
828;68
829;9
830;35
831;26
832;32
833;45
834;53
835;46
836;42
837;3
838;0
839;61
840;33
841;39
842;19
843;46
844;55
845;44
846;32
847;1
848;3
849;65
850;30
851;65
852;14
853;36
854;37
855;5
856;19
857;27
858;30
859;16
860;49
861;49
862;3
863;57
864;11
865;6
866;35
867;31
868;8
869;65
870;16
871;67
872;31
873;69
874;11
875;20
876;55
877;26
878;42
879;66
880;54
881;22
882;65
883;58
884;41
885;13
886;12
887;66
888;34
889;24
890;40
891;40
892;62
893;33
894;33
895;21
896;62
897;69
898;10
899;55
900;49
901;28
902;20
903;36
904;3
905;8
906;47
907;20
908;1
909;62
910;38
911;60
912;11
913;4
914;31
915;67
916;20
917;57
918;46
919;46
920;31
921;27
922;16
923;4
924;41
925;18
926;44
927;45
928;37
929;58
930;54
931;8
932;43
933;25
934;22
935;40
936;17
937;66
938;29
939;51
940;61
941;14
942;24
943;55
944;11
945;59
946;11
947;58
948;18
949;69
950;2
951;52
952;37
953;33
954;33
955;52
956;18
957;4
958;0
959;56
960;66
961;2
962;17
963;45
964;5
965;7
966;28
967;62
968;11
969;7
970;55
971;9
972;68
973;61
974;46
975;11
976;7
977;28
978;19
979;56
980;4
981;3
982;12
983;29
984;29
985;68
986;18
987;64
988;67
989;61
990;35
991;32
992;6
993;6
994;29
995;34
996;50
997;53
998;14
999;61
1000;18
1001;22
1002;61
1003;20
1004;47
1005;18
1006;47
1007;28
1008;9
1009;58
1010;55
1011;0
1012;53
1013;37
1014;29
1015;22
1016;38
1017;0
1018;54
1019;45
1020;39
1021;67
1022;1
1023;16
1024;7
1025;34
1026;50
1027;15
1028;30
1029;3
1030;69
1031;49
1032;65
1033;30
1034;23
1035;1
1036;24
1037;1
1038;45
1039;34
1040;66
1041;17
1042;49
1043;42
1044;63
1045;61
1046;36
1047;42
1048;66
1049;10
1050;25
1051;19
1052;19
1053;68
1054;51
1055;24
1056;55
1057;36
1058;27
1059;27
1060;65
1061;46
1062;53
1063;54
1064;59
1065;41
1066;4
1067;64
1068;69
1069;42
1070;51
1071;65
1072;15
1073;9
1074;23
1075;20
1076;60
1077;49
1078;59
1079;41
1080;52
1081;0
1082;13
1083;56
1084;45
1085;38
1086;0
1087;37
1088;67
1089;41
1090;35
1091;11
1092;55
1093;27
1094;44
1095;36
1096;31
1097;30
1098;55
1099;52
1100;7
1101;36
1102;14
1103;42
1104;52
1105;45
1106;27
1107;53
1108;45
1109;21
1110;61
1111;50
1112;22
1113;68
1114;10
1115;55
1116;9
1117;61
1118;15
1119;60
1120;19
1121;53
1122;32
1123;16
1124;69
1125;34
1126;64
1127;3
1128;67
1129;27
1130;62
1131;60
1132;6
1133;34
1134;61
1135;35
1136;1
1137;14
1138;54
1139;6
1140;28
1141;9
1142;1
1143;64
1144;24
1145;69
1146;45
1147;22
1148;19
1149;50
1150;65
1151;63
1152;50
1153;51
1154;64
1155;30
1156;35
1157;61
1158;57
1159;38
1160;40
1161;61
1162;20
1163;56
1164;2
1165;21
1166;60
1167;43
1168;26
1169;34
1170;22
1171;21
1172;36
1173;63
1174;49
1175;35
1176;17
1177;5
1178;21
1179;37
1180;68
1181;61
1182;39
1183;1
1184;68
1185;50
1186;2
1187;39
1188;45
1189;34
1190;0
1191;9
1192;62
1193;42
1194;34
1195;52
1196;37
1197;44
1198;51
1199;18
1200;36
1201;2
1202;14
1203;1
1204;20
1205;9
1206;34
1207;35
1208;48
1209;28
1210;43
1211;52
1212;3
1213;46
1214;35
1215;48
1216;60
1217;66
1218;22
1219;52
1220;61
1221;1
1222;49
1223;12
1224;30
1225;43
1226;26
1227;61
1228;61
1229;16
1230;7
1231;2
1232;12
1233;3
1234;29
1235;12
1236;54
1237;30
1238;10
1239;58
1240;0
1241;21
1242;20
1243;1
1244;28
1245;13
1246;16
1247;35
1248;32
1249;20
1250;56
1251;10
1252;17
1253;67
1254;69
1255;26
1256;22
1257;40
1258;15
1259;17
1260;38
1261;3
1262;2
1263;29
1264;32
1265;58
1266;3
1267;5
1268;41
1269;18
1270;16
1271;28
1272;56
1273;39
1274;32
1275;48
1276;29
1277;56
1278;53
1279;39
1280;26
1281;68
1282;37
1283;20
1284;62
1285;40
1286;55
1287;61
1288;59
1289;37
1290;52
1291;6
1292;34
1293;48
1294;25
1295;7
1296;52
1297;69
1298;21
1299;6
1300;31
1301;23
1302;39
1303;2
1304;52
1305;19
1306;18
1307;6
1308;68
1309;48
1310;63
1311;51
1312;54
1313;34
1314;14
1315;9
1316;56
1317;30
1318;43
1319;67
1320;65
1321;58
1322;44
1323;11
1324;44
1325;44
1326;4
1327;37
1328;6
1329;13
1330;7
1331;64
1332;33
1333;62
1334;19
1335;9
1336;66
1337;26
1338;10
1339;60
1340;22
1341;69
1342;12
1343;17
1344;17
1345;44
1346;53
1347;33
1348;41
1349;66
1350;15
1351;36
1352;45
1353;64
1354;30
1355;15
1356;57
1357;48
1358;60
1359;5
1360;38
1361;32
1362;58
1363;23
1364;53
1365;60
1366;64
1367;10
1368;62
1369;13
1370;17
1371;32
1372;41
1373;48
1374;45
1375;8
1376;2
1377;33
1378;63
1379;38
1380;46
1381;0
1382;48
1383;3
1384;13
1385;32
1386;30
1387;29
1388;17
1389;68
1390;8
1391;14
1392;21
1393;46
1394;63
1395;56
1396;50
1397;19
1398;49
1399;3
1400;69
1401;9
1402;68
1403;22
1404;43
1405;40
1406;21
1407;47
1408;35
1409;69
1410;28
1411;63
1412;19
1413;18
1414;27
1415;9
1416;43
1417;48
1418;55
1419;35
1420;49
1421;13
1422;37
1423;69
1424;52
1425;44
1426;39
1427;15
1428;34
1429;52
1430;48
1431;55
1432;62
1433;53
1434;68
1435;67
1436;46
1437;56
1438;5
1439;69
1440;63
1441;45
1442;47
1443;31
1444;31
1445;5
1446;45
1447;32
1448;44
1449;15
1450;34
1451;23
1452;51
1453;54
1454;23
1455;3
1456;50
1457;15
1458;3
1459;39
1460;57
1461;10
1462;8
1463;64
1464;68
1465;20
1466;30
1467;61
1468;16
1469;15
1470;11
1471;49
1472;24
1473;0
1474;13
1475;22
1476;19
1477;43
1478;4
1479;65
1480;60
1481;5
1482;1
1483;33
1484;69
1485;2
1486;6
1487;60
1488;33
1489;7
1490;0
1491;30
1492;37
1493;66
1494;12
1495;14
1496;67
1497;22
1498;29
1499;20
1500;64
1501;5
1502;29
1503;43
1504;51
1505;28
1506;62
1507;12
1508;16
1509;65
1510;29
1511;60
1512;17
1513;10
1514;66
1515;29
1516;29
1517;42
1518;58
1519;2
1520;7
1521;64
1522;44
1523;31
1524;42
1525;69
1526;4
1527;17
1528;32
1529;7
1530;38
1531;19
1532;6
1533;26
1534;53
1535;16
1536;22
1537;8
1538;26
1539;69
1540;46
1541;18
1542;32
1543;9
1544;61
1545;13
1546;4
1547;40
1548;32
1549;41
1550;48
1551;66
1552;69
1553;62
1554;7
1555;15
1556;51
1557;47
1558;37
1559;27
1560;56
1561;51
1562;54
1563;8
1564;13
1565;36
1566;69
1567;26
1568;60
1569;24
1570;44
1571;45
1572;26
1573;50
1574;50
1575;9
1576;48
1577;43
1578;4
1579;29
1580;15
1581;6
1582;36
1583;30
1584;34
1585;65
1586;44
1587;32
1588;14
1589;13
1590;62
1591;46
1592;2
1593;21
1594;22
1595;33
1596;1
1597;18
1598;32
1599;36
1600;41
1601;54
1602;59
1603;25
1604;56
1605;54
1606;32
1607;13
1608;18
1609;63
1610;5
1611;16
1612;38
1613;27
1614;37
1615;61
1616;23
1617;44
1618;36
1619;2
1620;7
1621;8
1622;49
1623;25
1624;19
1625;1
1626;27
1627;13
1628;10
1629;8
1630;61
1631;24
1632;26
1633;35
1634;66
1635;48
1636;43
1637;51
1638;15
1639;58
1640;20
1641;0
1642;43
1643;39
1644;45
1645;52
1646;61
1647;5
1648;60
1649;56
1650;67
1651;44
1652;43
1653;9
1654;28
1655;68
1656;3
1657;15
1658;47
1659;27
1660;53
1661;64
1662;35
1663;4
1664;69
1665;37
1666;43
1667;5
1668;7
1669;61
1670;9
1671;50
1672;45
1673;69
1674;29
1675;69
1676;55
1677;35
