idOceny;idAktor
250000;304
250001;343
250002;449
250003;498
250004;386
250005;431
250006;48
250007;262
250008;331
250009;183
250010;276
250011;404
250012;387
250013;418
250014;419
250015;343
250016;132
250017;478
250018;162
250019;127
250020;250
250021;102
250022;495
250023;343
250024;22
250025;248
250026;380
250027;46
250028;134
250029;387
250030;438
250031;118
250032;74
250033;259
250034;86
250035;389
250036;471
250037;14
250038;157
250039;383
250040;236
250041;50
250042;411
250043;138
250044;63
250045;283
250046;372
250047;245
250048;156
250049;332
250050;291
250051;469
250052;326
250053;30
250054;482
250055;228
250056;325
250057;173
250058;372
250059;117
250060;16
250061;359
250062;99
250063;427
250064;459
250065;481
250066;315
250067;497
250068;179
250069;269
250070;288
250071;309
250072;6
250073;128
250074;53
250075;18
250076;304
250077;258
250078;455
250079;491
250080;259
250081;219
250082;64
250083;145
250084;91
250085;95
250086;498
250087;201
250088;63
250089;13
250090;173
250091;373
250092;298
250093;256
250094;254
250095;142
250096;4
250097;283
250098;285
250099;280
250100;107
250101;406
250102;9
250103;90
250104;260
250105;191
250106;301
250107;259
250108;261
250109;73
250110;434
250111;367
250112;373
250113;98
250114;313
250115;110
250116;157
250117;88
250118;55
250119;352
250120;288
250121;314
250122;108
250123;85
250124;392
250125;244
250126;484
250127;114
250128;94
250129;441
250130;255
250131;427
250132;118
250133;366
250134;3
250135;269
250136;26
250137;314
250138;336
250139;440
250140;440
250141;440
250142;429
250143;363
250144;136
250145;202
250146;477
250147;128
250148;455
250149;246
250150;182
250151;48
250152;276
250153;249
250154;278
250155;81
250156;468
250157;389
250158;453
250159;260
250160;18
250161;461
250162;406
250163;458
250164;386
250165;145
250166;155
250167;217
250168;405
250169;357
250170;449
250171;289
250172;330
250173;229
250174;137
250175;79
250176;404
250177;88
250178;487
250179;438
250180;26
250181;88
250182;175
250183;2
250184;422
250185;480
250186;295
250187;146
250188;46
250189;272
250190;12
250191;301
250192;321
250193;446
250194;420
250195;372
250196;237
250197;121
250198;361
250199;194
250200;375
250201;258
250202;260
250203;128
250204;478
250205;429
250206;127
250207;231
250208;51
250209;198
250210;41
250211;50
250212;146
250213;379
250214;153
250215;145
250216;362
250217;244
250218;164
250219;106
250220;62
250221;123
250222;375
250223;132
250224;5
250225;314
250226;129
250227;97
250228;486
250229;30
250230;179
250231;388
250232;227
250233;231
250234;171
250235;481
250236;359
250237;6
250238;263
250239;145
250240;439
250241;433
250242;45
250243;234
250244;164
250245;488
250246;298
250247;248
250248;66
250249;362
250250;95
250251;88
250252;32
250253;109
250254;416
250255;289
250256;45
250257;456
250258;27
250259;309
250260;192
250261;482
250262;277
250263;454
250264;126
250265;172
250266;204
250267;51
250268;393
250269;106
250270;456
250271;129
250272;424
250273;393
250274;157
250275;389
250276;69
250277;264
250278;472
250279;67
250280;446
250281;236
250282;277
250283;30
250284;365
250285;481
250286;434
250287;481
250288;112
250289;62
250290;479
250291;151
250292;121
250293;115
250294;421
250295;305
250296;463
250297;31
250298;152
250299;168
250300;396
250301;9
250302;212
250303;20
250304;456
250305;294
250306;58
250307;222
250308;416
250309;494
250310;169
250311;110
250312;113
250313;391
250314;498
250315;390
250316;60
250317;198
250318;76
250319;31
250320;393
250321;46
250322;421
250323;255
250324;342
250325;10
250326;16
250327;492
250328;141
250329;45
250330;352
250331;150
250332;463
250333;469
250334;19
250335;86
250336;477
250337;272
250338;298
250339;379
250340;438
250341;481
250342;79
250343;352
250344;34
250345;408
250346;124
250347;287
250348;439
250349;109
250350;431
250351;277
250352;493
250353;109
250354;133
250355;279
250356;76
250357;364
250358;95
250359;304
250360;385
250361;258
250362;272
250363;94
250364;321
250365;68
250366;291
250367;189
250368;136
250369;290
250370;124
250371;417
250372;178
250373;445
250374;134
250375;450
250376;288
250377;413
250378;154
250379;126
250380;106
250381;226
250382;211
250383;321
250384;93
250385;59
250386;334
250387;284
250388;79
250389;372
250390;234
250391;120
250392;428
250393;175
250394;32
250395;495
250396;454
250397;463
250398;319
250399;347
250400;436
250401;172
250402;52
250403;69
250404;384
250405;207
250406;88
250407;428
250408;172
250409;86
250410;307
250411;10
250412;99
250413;148
250414;233
250415;163
250416;434
250417;192
250418;339
250419;168
250420;281
250421;29
250422;407
250423;196
250424;473
250425;379
250426;216
250427;13
250428;202
250429;83
250430;53
250431;317
250432;374
250433;436
250434;146
250435;193
250436;179
250437;440
250438;447
250439;11
250440;489
250441;361
250442;347
250443;430
250444;251
250445;42
250446;122
250447;132
250448;86
250449;254
250450;343
250451;8
250452;443
250453;392
250454;327
250455;387
250456;46
250457;277
250458;369
250459;388
250460;440
250461;134
250462;456
250463;461
250464;295
250465;448
250466;267
250467;205
250468;171
250469;219
250470;208
250471;367
250472;60
250473;219
250474;310
250475;408
250476;277
250477;259
250478;289
250479;235
250480;334
250481;452
250482;182
250483;104
250484;375
250485;206
250486;111
250487;297
250488;396
250489;325
250490;272
250491;426
250492;481
250493;104
250494;57
250495;39
250496;170
250497;356
250498;318
250499;499
250500;305
250501;126
250502;139
250503;42
250504;374
250505;349
250506;46
250507;85
250508;418
250509;105
250510;246
250511;103
250512;449
250513;405
250514;12
250515;174
250516;236
250517;37
250518;187
250519;33
250520;89
250521;275
250522;455
250523;415
250524;135
250525;95
250526;183
250527;201
250528;475
250529;158
250530;257
250531;394
250532;347
250533;414
250534;159
250535;15
250536;48
250537;457
250538;372
250539;187
250540;318
250541;120
250542;285
250543;300
250544;450
250545;202
250546;163
250547;485
250548;354
250549;374
250550;494
250551;255
250552;269
250553;237
250554;137
250555;346
250556;229
250557;465
250558;315
250559;498
250560;404
250561;396
250562;447
250563;278
250564;472
250565;9
250566;103
250567;55
250568;178
250569;55
250570;394
250571;277
250572;245
250573;496
250574;405
250575;202
250576;188
250577;418
250578;415
250579;239
250580;78
250581;143
250582;183
250583;330
250584;490
250585;389
250586;325
250587;342
250588;111
250589;398
250590;453
250591;248
250592;363
250593;393
250594;322
250595;54
250596;458
250597;208
250598;276
250599;115
250600;80
250601;481
250602;403
250603;481
250604;486
250605;343
250606;45
250607;69
250608;477
250609;459
250610;226
250611;199
250612;57
250613;251
250614;293
250615;383
250616;403
250617;51
250618;297
250619;40
250620;355
250621;93
250622;410
250623;6
250624;100
250625;144
250626;231
250627;216
250628;481
250629;430
250630;162
250631;425
250632;65
250633;109
250634;320
250635;393
250636;91
250637;353
250638;403
250639;263
250640;2
250641;66
250642;231
250643;323
250644;30
250645;422
250646;393
250647;167
250648;251
250649;443
250650;171
250651;386
250652;241
250653;362
250654;337
250655;130
250656;260
250657;149
250658;109
250659;456
250660;164
250661;264
250662;479
250663;209
250664;446
250665;424
250666;268
250667;228
250668;56
250669;150
250670;161
250671;257
250672;52
250673;476
250674;46
250675;66
250676;170
250677;396
250678;403
250679;160
250680;88
250681;213
250682;268
250683;434
250684;254
250685;486
250686;447
250687;352
250688;270
250689;248
250690;181
250691;201
250692;193
250693;323
250694;127
250695;12
250696;115
250697;211
250698;375
250699;367
250700;308
250701;3
250702;325
250703;420
250704;311
250705;426
250706;413
250707;188
250708;354
250709;263
250710;87
250711;93
250712;476
250713;149
250714;1
250715;217
250716;455
250717;149
250718;459
250719;462
250720;394
250721;388
250722;18
250723;46
250724;93
250725;242
250726;461
250727;18
250728;163
250729;342
250730;2
250731;413
250732;328
250733;200
250734;38
250735;79
250736;328
250737;152
250738;157
250739;409
250740;100
250741;148
250742;379
250743;215
250744;152
250745;84
250746;318
250747;258
250748;67
250749;278
250750;141
250751;260
250752;256
250753;447
250754;17
250755;12
250756;413
250757;119
250758;489
250759;336
250760;92
250761;444
250762;40
250763;480
250764;154
250765;73
250766;299
250767;479
250768;177
250769;234
250770;56
250771;416
250772;313
250773;74
250774;289
250775;119
250776;413
250777;127
250778;218
250779;325
250780;261
250781;96
250782;251
250783;378
250784;282
250785;329
250786;12
250787;452
250788;126
250789;8
250790;253
250791;470
250792;44
250793;359
250794;126
250795;80
250796;282
