idOceny;idUzytkownika
0;62
1;31
2;62
3;3
4;35
5;44
6;34
7;26
8;55
9;16
10;38
11;13
12;58
13;22
14;42
15;35
16;51
17;66
18;35
19;36
20;56
21;56
22;44
23;64
24;47
25;35
26;13
27;50
28;44
29;47
30;40
31;35
32;39
33;44
34;4
35;57
36;68
37;27
38;38
39;52
40;25
41;45
42;59
43;18
44;35
45;29
46;69
47;18
48;13
49;34
50;53
51;65
52;23
53;18
54;32
55;37
56;45
57;34
58;1
59;1
60;29
61;62
62;69
63;66
64;3
65;5
66;62
67;31
68;14
69;28
70;19
71;23
72;7
73;21
74;46
75;9
76;52
77;32
78;54
79;15
80;34
81;21
82;23
83;44
84;55
85;28
86;58
87;11
88;23
89;0
90;5
91;44
92;44
93;37
94;31
95;20
96;13
97;13
98;51
99;25
100;63
101;24
102;67
103;32
104;45
105;13
106;4
107;14
108;39
109;28
110;10
111;35
112;53
113;44
114;16
115;64
116;60
117;6
118;60
119;29
120;37
121;20
122;66
123;61
124;12
125;47
126;53
127;36
128;26
129;25
130;64
131;45
132;23
133;50
134;25
135;45
136;20
137;25
138;0
139;55
140;38
141;59
142;65
143;30
144;54
145;66
146;32
147;14
148;46
149;63
150;52
151;59
152;10
153;13
154;37
155;49
156;48
157;52
158;67
159;50
160;39
161;21
162;35
163;10
164;44
165;29
166;18
167;20
168;32
169;9
170;52
171;53
172;60
173;31
174;67
175;64
176;3
177;9
178;12
179;15
180;51
181;43
182;23
183;67
184;63
185;53
186;60
187;33
188;45
189;22
190;36
191;40
192;9
193;11
194;44
195;30
196;58
197;55
198;25
199;54
200;60
201;6
202;64
203;50
204;3
205;30
206;56
207;29
208;47
209;59
210;40
211;60
212;36
213;60
214;43
215;30
216;20
217;35
218;60
219;5
220;66
221;67
222;64
223;60
224;27
225;30
226;26
227;6
228;45
229;52
230;40
231;13
232;63
233;45
234;8
235;36
236;44
237;50
238;48
239;18
240;42
241;2
242;41
243;27
244;1
245;26
246;58
247;57
248;50
249;25
250;30
251;2
252;54
253;34
254;68
255;31
256;26
257;16
258;18
259;41
260;32
261;12
262;16
263;18
264;19
265;68
266;8
267;58
268;46
269;45
270;69
271;61
272;41
273;51
274;25
275;52
276;21
277;44
278;36
279;3
280;29
281;9
282;63
283;54
284;12
285;60
286;9
287;43
288;36
289;7
290;62
291;51
292;45
293;35
294;61
295;9
296;28
297;67
298;56
299;62
300;60
301;0
302;2
303;27
304;23
305;9
306;31
307;26
308;49
309;27
310;2
311;2
312;15
313;57
314;20
315;39
316;9
317;41
318;21
319;56
