idOceny;idRezyser
375000;127
375001;115
375002;107
375003;100
375004;106
375005;101
375006;120
375007;124
375008;117
375009;124
375010;100
375011;109
375012;107
375013;111
375014;100
375015;100
375016;124
375017;118
375018;101
375019;116
375020;112
375021;128
375022;128
375023;125
375024;120
375025;120
375026;124
375027;128
375028;117
375029;111
375030;104
375031;104
375032;108
375033;125
375034;125
375035;127
375036;102
375037;103
375038;115
375039;114
375040;127
375041;126
375042;104
375043;111
375044;100
375045;102
375046;111
375047;109
375048;103
375049;118
375050;110
375051;113
375052;100
375053;107
375054;126
375055;118
375056;122
375057;108
375058;105
375059;119
375060;100
375061;122
375062;121
375063;122
375064;123
375065;116
375066;110
375067;118
375068;115
375069;101
375070;121
375071;117
375072;118
375073;101
375074;115
375075;124
375076;119
375077;109
375078;126
375079;108
375080;127
375081;117
375082;122
375083;123
375084;125
375085;129
375086;125
375087;120
375088;121
375089;119
375090;104
375091;115
375092;109
375093;113
375094;117
375095;124
375096;110
375097;125
375098;107
375099;107
375100;117
375101;113
375102;111
375103;123
375104;106
375105;128
375106;119
375107;102
375108;118
375109;106
375110;117
375111;128
375112;116
375113;119
375114;106
375115;119
375116;129
375117;101
375118;102
375119;115
375120;116
375121;120
375122;110
375123;101
375124;113
375125;102
375126;104
375127;126
375128;119
375129;125
375130;122
375131;113
375132;120
375133;114
375134;110
375135;104
375136;125
375137;125
375138;102
375139;124
375140;110
375141;125
375142;114
375143;125
375144;129
375145;121
375146;106
375147;108
375148;117
375149;126
375150;110
375151;126
375152;116
375153;126
375154;119
375155;117
375156;107
375157;111
375158;100
375159;108
375160;113
375161;111
375162;120
375163;104
375164;108
375165;115
375166;108
375167;101
375168;129
375169;111
375170;117
375171;129
375172;118
375173;105
375174;114
375175;114
375176;129
375177;129
375178;125
375179;105
375180;128
375181;109
375182;129
375183;102
375184;120
375185;125
375186;124
375187;115
375188;114
375189;113
375190;101
375191;119
375192;113
375193;111
375194;118
375195;113
375196;106
375197;112
375198;103
375199;111
375200;125
375201;123
375202;118
375203;114
375204;126
375205;125
375206;118
375207;116
375208;123
375209;104
375210;101
375211;112
375212;118
375213;105
375214;112
375215;115
375216;102
375217;107
375218;122
375219;113
375220;118
375221;105
375222;104
375223;107
375224;105
375225;123
375226;113
375227;108
375228;127
375229;112
375230;105
375231;123
375232;125
375233;124
375234;124
375235;102
375236;116
375237;123
375238;108
375239;125
375240;109
375241;109
375242;121
375243;114
375244;113
375245;112
375246;123
375247;101
375248;111
375249;112
375250;103
375251;118
375252;128
375253;123
375254;110
375255;126
375256;102
375257;127
375258;103
375259;113
375260;125
375261;124
375262;125
375263;121
375264;106
375265;107
375266;126
375267;116
375268;108
375269;101
375270;129
375271;120
375272;123
375273;100
375274;108
375275;115
375276;118
375277;106
375278;108
375279;111
375280;125
375281;112
375282;102
375283;119
375284;110
375285;124
375286;126
375287;113
375288;123
375289;126
375290;105
375291;128
375292;100
375293;111
375294;109
375295;108
375296;109
375297;117
375298;103
375299;127
375300;102
375301;116
375302;103
375303;121
375304;129
375305;124
375306;112
375307;105
375308;129
375309;129
375310;117
375311;101
375312;114
375313;109
375314;125
375315;128
375316;107
375317;111
375318;110
375319;119
375320;125
375321;103
375322;125
375323;122
375324;103
375325;124
375326;103
375327;106
375328;117
375329;126
375330;121
375331;106
375332;112
375333;127
375334;107
375335;124
375336;118
375337;116
375338;127
375339;122
375340;119
375341;121
375342;122
375343;110
375344;101
375345;120
375346;120
375347;107
375348;128
375349;115
375350;122
375351;110
375352;104
375353;115
375354;110
375355;129
375356;118
375357;121
375358;105
375359;128
375360;103
375361;109
375362;111
375363;111
375364;103
375365;100
375366;124
375367;107
375368;111
375369;106
375370;117
375371;114
375372;118
375373;102
375374;127
375375;122
375376;123
375377;118
375378;105
375379;129
375380;112
375381;128
375382;125
375383;100
375384;105
375385;128
375386;112
375387;129
375388;118
375389;103
375390;122
375391;122
375392;106
375393;110
375394;121
375395;119
375396;108
375397;120
375398;101
375399;105
375400;120
375401;109
375402;101
375403;115
375404;121
375405;108
375406;129
375407;120
375408;114
375409;106
375410;110
375411;102
375412;126
375413;104
375414;109
375415;100
375416;116
375417;123
375418;123
375419;127
375420;100
375421;127
375422;124
375423;125
375424;122
375425;100
375426;121
375427;117
375428;122
375429;103
375430;107
375431;118
375432;102
375433;109
375434;108
375435;107
375436;119
375437;119
375438;126
375439;114
375440;113
375441;119
375442;129
375443;119
375444;126
375445;124
375446;102
375447;101
375448;126
375449;117
375450;108
375451;111
375452;128
375453;125
375454;129
375455;126
375456;102
375457;115
375458;117
375459;102
375460;120
375461;100
375462;112
375463;125
375464;123
375465;117
375466;116
375467;124
375468;113
375469;107
375470;126
375471;109
375472;110
375473;108
375474;117
375475;124
375476;120
375477;117
375478;102
375479;109
375480;111
375481;129
375482;106
375483;115
375484;115
375485;112
375486;116
375487;121
375488;125
375489;126
375490;125
375491;117
375492;110
375493;124
375494;126
375495;126
375496;111
375497;108
375498;109
375499;114
375500;105
375501;120
375502;101
375503;115
375504;104
375505;100
375506;107
375507;108
375508;115
375509;101
375510;126
375511;114
375512;111
375513;119
375514;112
375515;117
375516;125
375517;105
375518;124
375519;113
375520;114
375521;105
375522;115
375523;110
375524;125
375525;123
375526;123
375527;107
375528;117
375529;107
375530;112
375531;102
375532;127
375533;106
375534;108
375535;126
375536;106
375537;113
375538;105
375539;124
375540;114
375541;125
375542;118
375543;122
375544;125
375545;105
375546;119
375547;121
375548;123
375549;116
375550;120
375551;105
375552;104
375553;100
375554;126
375555;118
375556;117
375557;107
375558;109
375559;114
375560;121
375561;117
375562;112
375563;116
375564;118
375565;120
375566;123
375567;102
375568;124
375569;110
375570;107
375571;122
375572;109
375573;100
375574;109
375575;129
375576;104
375577;128
375578;110
375579;116
375580;117
375581;102
375582;100
375583;112
375584;108
375585;118
375586;112
375587;125
375588;129
375589;118
375590;117
375591;106
375592;107
375593;128
375594;113
375595;118
375596;119
375597;106
375598;111
375599;118
375600;128
375601;125
375602;120
375603;125
375604;112
375605;104
375606;101
375607;106
375608;115
375609;112
375610;110
375611;107
375612;114
375613;109
375614;109
375615;110
375616;119
375617;117
375618;102
375619;115
375620;109
375621;118
375622;110
375623;113
375624;127
375625;126
375626;107
375627;128
375628;100
375629;123
375630;106
375631;122
375632;112
375633;117
375634;107
375635;111
375636;119
375637;113
375638;121
375639;114
375640;121
375641;106
375642;113
375643;108
375644;106
375645;118
375646;123
375647;118
375648;105
375649;123
375650;129
375651;119
375652;104
375653;104
375654;100
375655;107
375656;119
375657;105
375658;112
375659;106
375660;123
375661;107
375662;123
375663;105
375664;121
375665;127
375666;115
375667;104
375668;122
375669;116
375670;108
375671;121
375672;110
375673;121
375674;101
375675;111
375676;107
375677;101
375678;117
375679;126
375680;108
375681;112
375682;107
375683;107
375684;107
375685;111
375686;119
375687;115
375688;107
375689;109
375690;114
375691;114
375692;129
375693;106
375694;111
375695;116
375696;126
375697;104
375698;124
375699;124
375700;125
375701;102
375702;102
375703;118
375704;110
375705;125
375706;127
375707;103
375708;106
375709;127
375710;116
375711;126
375712;127
375713;128
375714;113
375715;107
375716;126
375717;110
375718;106
375719;124
375720;118
375721;116
375722;111
375723;109
375724;122
375725;118
375726;118
375727;108
375728;125
375729;124
375730;118
375731;129
375732;109
375733;102
375734;121
375735;109
375736;110
375737;124
375738;105
375739;102
375740;126
375741;120
375742;120
375743;105
375744;113
375745;129
375746;123
375747;119
375748;114
375749;105
375750;106
375751;129
375752;113
375753;124
375754;124
375755;102
375756;119
375757;100
375758;117
375759;112
375760;119
375761;107
375762;121
375763;121
375764;112
375765;127
375766;100
375767;106
375768;102
375769;122
375770;102
375771;127
375772;126
375773;107
375774;128
375775;120
375776;121
375777;108
375778;108
375779;106
375780;128
375781;120
375782;112
375783;116
375784;125
375785;107
375786;116
375787;126
375788;118
375789;119
375790;119
375791;117
375792;112
375793;125
375794;101
375795;106
375796;101
375797;119
375798;115
375799;129
375800;112
375801;121
375802;102
375803;113
375804;103
375805;125
375806;118
375807;102
375808;127
375809;106
375810;128
375811;113
375812;113
375813;119
375814;115
375815;101
375816;118
375817;113
375818;125
375819;101
375820;110
375821;108
375822;128
375823;104
375824;125
375825;120
375826;100
375827;108
375828;102
375829;115
375830;117
375831;108
375832;100
375833;101
375834;112
375835;128
375836;117
375837;127
375838;110
375839;105
