idFilm;idAktor
61;232
69;133
31;175
24;335
40;153
8;146
59;114
16;324
54;21
28;77
43;323
53;253
45;289
20;288
64;108
28;455
51;434
21;349
21;26
23;420
52;51
10;457
10;448
4;258
13;423
6;112
52;203
12;305
36;365
39;181
10;236
10;438
37;26
56;64
68;242
21;477
46;103
61;51
49;497
47;241
55;224
17;156
30;214
28;114
7;35
0;420
8;284
32;203
50;453
36;113
14;159
29;12
58;20
55;306
29;475
68;145
31;408
42;251
26;159
67;371
5;209
54;129
44;414
13;6
29;402
47;193
24;430
8;386
19;143
67;373
6;430
15;96
15;297
69;264
33;444
20;470
69;53
11;27
2;132
18;169
16;345
9;338
48;17
16;127
25;142
60;453
48;16
43;458
38;208
45;233
17;277
62;200
42;22
60;423
1;289
17;219
24;489
55;134
20;425
59;498
47;339
15;232
65;335
63;344
6;281
17;441
37;94
10;234
32;89
14;417
51;411
32;471
68;374
38;38
64;137
48;58
50;470
51;54
34;69
0;31
47;390
35;286
53;426
65;64
34;211
2;133
57;34
35;317
29;330
69;222
25;179
27;265
36;34
42;340
21;323
65;474
9;407
19;384
10;254
0;288
33;9
57;479
58;107
58;241
68;350
52;19
52;224
60;95
4;422
18;206
62;191
31;227
23;296
39;121
24;459
11;123
2;255
55;199
51;35
37;220
7;375
67;338
59;90
5;68
7;314
60;327
12;287
17;386
61;361
63;176
55;51
42;483
19;258
44;201
48;388
6;310
22;480
53;167
63;278
3;448
25;399
65;165
8;248
15;212
36;58
37;54
49;375
38;271
67;85
57;233
42;44
29;394
57;116
40;403
58;464
12;308
0;134
66;130
50;483
25;406
56;440
26;485
7;93
21;218
41;141
32;444
53;499
69;141
15;194
46;259
13;319
37;111
64;435
8;286
50;13
57;482
52;57
49;101
49;32
59;382
4;317
55;37
57;314
7;187
47;415
66;447
56;265
54;426
19;275
51;67
10;435
15;107
44;499
4;170
12;333
33;177
2;127
6;148
5;312
47;462
51;181
5;48
47;135
32;76
19;17
35;218
0;328
66;384
63;411
63;224
65;497
47;315
5;473
54;419
57;299
0;49
53;252
52;441
29;190
34;14
0;268
10;247
19;89
20;262
20;259
44;292
7;2
50;442
47;116
30;192
7;321
39;95
18;161
21;206
41;443
12;104
10;267
30;62
1;371
59;110
65;448
8;21
8;338
14;336
14;422
23;335
46;153
54;495
26;362
24;480
20;259
51;307
52;86
42;395
3;268
39;143
26;263
10;294
60;39
31;16
48;322
44;229
15;381
19;498
39;123
65;45
40;160
45;22
11;339
23;110
39;74
42;135
30;211
53;177
51;307
46;53
19;80
34;391
17;7
17;403
24;327
64;49
32;110
8;72
1;492
0;53
36;123
41;467
55;205
0;276
65;500
24;441
61;262
14;248
46;25
22;257
41;236
29;133
14;215
27;261
68;170
47;303
44;492
49;474
32;97
35;182
15;380
8;207
1;216
11;436
58;214
46;371
33;16
17;202
37;487
38;363
39;75
34;16
36;479
52;319
11;386
16;69
33;477
22;71
43;267
39;225
24;477
12;305
31;350
54;221
51;111
60;5
2;256
68;328
56;367
22;450
40;24
54;196
67;260
51;65
16;214
14;270
12;89
38;181
40;242
28;404
41;373
3;158
61;57
35;119
40;420
1;238
5;467
17;98
47;474
56;220
2;340
8;283
69;85
21;130
17;422
40;424
29;95
25;221
66;384
12;448
32;189
32;286
36;186
45;468
18;123
62;129
51;268
60;383
48;49
58;499
2;436
65;95
68;428
9;441
67;157
4;415
67;303
50;55
43;103
13;149
48;34
39;192
3;56
69;35
39;406
13;13
20;229
15;201
45;257
30;52
50;371
59;216
47;282
15;102
42;102
12;123
11;34
68;334
29;59
24;498
23;130
61;293
44;177
27;236
62;340
5;40
68;178
61;422
6;121
29;150
47;298
2;34
4;29
18;92
38;150
55;329
39;141
12;491
47;137
65;96
45;195
16;244
5;392
12;213
48;120
43;345
56;189
69;373
38;304
10;157
26;469
64;463
15;144
32;3
39;496
36;0
49;206
44;133
26;10
15;438
26;107
44;160
33;413
48;384
19;122
50;313
48;334
59;387
25;439
6;487
56;257
27;119
10;452
47;39
46;15
36;385
63;463
61;455
16;435
42;424
8;84
58;258
4;73
17;265
54;292
7;204
33;417
16;127
4;362
61;174
31;451
30;180
17;122
29;210
60;229
6;195
15;263
66;500
32;187
13;495
21;350
4;438
38;124
51;406
