idOceny;idAktor
500000;322
500001;85
500002;185
500003;387
500004;438
500005;469
500006;303
500007;437
500008;62
500009;114
500010;425
500011;340
500012;384
500013;334
500014;425
500015;89
500016;332
500017;312
500018;304
500019;283
500020;69
500021;142
500022;172
500023;352
500024;126
500025;396
500026;386
500027;37
500028;222
500029;325
500030;483
500031;445
500032;307
500033;244
500034;127
500035;21
500036;141
500037;383
500038;479
500039;438
500040;85
500041;449
500042;61
500043;325
500044;105
500045;428
500046;174
500047;293
500048;467
500049;95
500050;256
500051;139
500052;495
500053;293
500054;138
500055;336
500056;437
500057;458
500058;192
500059;271
500060;224
500061;138
500062;267
500063;490
500064;448
500065;234
500066;70
500067;117
500068;406
500069;328
500070;54
500071;74
500072;272
500073;299
500074;381
500075;66
500076;418
500077;239
500078;353
500079;495
500080;217
500081;263
500082;183
500083;30
500084;180
500085;474
500086;394
500087;319
500088;474
500089;445
500090;33
500091;406
500092;328
500093;38
500094;269
500095;380
500096;346
500097;19
500098;431
500099;345
500100;284
500101;0
500102;193
500103;254
500104;60
500105;124
500106;264
500107;284
500108;120
500109;8
500110;436
500111;183
500112;179
500113;314
500114;343
500115;113
500116;162
500117;26
500118;454
500119;70
500120;262
500121;256
500122;119
500123;8
500124;427
500125;293
500126;120
500127;262
500128;72
500129;304
500130;129
500131;23
500132;379
500133;165
500134;245
500135;286
500136;445
500137;378
500138;26
500139;421
500140;408
500141;449
500142;388
500143;278
500144;422
500145;476
500146;332
500147;224
500148;183
500149;27
500150;487
500151;492
500152;491
500153;472
500154;59
500155;40
500156;115
500157;313
500158;223
500159;59
500160;395
500161;454
500162;98
500163;125
500164;420
500165;267
500166;118
500167;337
500168;175
500169;458
500170;294
500171;50
500172;481
500173;382
500174;186
500175;133
500176;328
500177;474
500178;335
500179;155
500180;264
500181;476
500182;172
500183;282
500184;366
500185;72
500186;98
500187;480
500188;401
500189;60
500190;121
500191;101
500192;369
500193;212
500194;189
500195;77
500196;409
500197;354
500198;22
500199;400
500200;146
500201;122
500202;346
500203;210
500204;218
500205;161
500206;248
500207;478
500208;468
500209;175
500210;271
500211;97
500212;403
500213;407
500214;110
500215;194
500216;17
500217;327
500218;418
500219;208
500220;180
500221;136
500222;347
500223;469
500224;346
500225;13
500226;160
500227;157
500228;72
500229;96
500230;132
500231;357
500232;106
500233;448
500234;335
500235;490
500236;95
500237;23
500238;192
500239;352
500240;138
500241;50
500242;125
500243;284
500244;71
500245;290
500246;212
500247;166
500248;8
500249;447
500250;296
500251;436
500252;226
500253;157
500254;179
500255;498
500256;93
500257;118
500258;467
500259;66
500260;376
500261;408
500262;350
500263;49
500264;223
500265;161
500266;210
500267;148
500268;252
500269;423
500270;195
500271;424
500272;318
500273;305
500274;14
500275;322
500276;283
500277;418
500278;253
500279;132
500280;119
500281;109
500282;335
500283;38
500284;150
500285;126
500286;157
500287;375
500288;224
500289;381
500290;434
500291;345
500292;164
500293;364
500294;119
500295;426
500296;45
500297;437
500298;113
500299;69
500300;421
500301;353
500302;256
500303;142
500304;362
500305;88
500306;194
500307;35
500308;479
500309;188
500310;428
500311;65
500312;497
500313;106
500314;174
500315;282
500316;136
500317;139
500318;469
500319;23
500320;414
500321;107
500322;135
500323;271
500324;425
500325;328
500326;196
500327;482
500328;21
500329;138
500330;397
500331;142
500332;73
500333;47
500334;440
500335;281
500336;64
500337;59
500338;170
500339;347
500340;202
500341;422
500342;361
500343;98
500344;399
500345;161
500346;496
500347;404
500348;351
500349;3
500350;56
500351;255
500352;135
500353;436
500354;420
500355;124
500356;462
500357;454
500358;11
500359;360
500360;15
500361;101
500362;195
500363;147
500364;5
500365;357
500366;144
500367;370
500368;424
500369;25
500370;253
500371;460
500372;280
500373;20
500374;311
500375;409
500376;112
500377;3
