idOceny;idRezyser
750000;569
750001;599
750002;510
750003;576
750004;520
750005;599
750006;590
750007;526
750008;570
750009;543
750010;506
750011;525
750012;590
750013;536
750014;570
750015;545
750016;567
750017;566
750018;529
750019;526
750020;590
750021;587
750022;525
750023;530
750024;509
750025;506
750026;501
750027;542
750028;545
750029;574
750030;561
750031;541
750032;534
750033;586
750034;524
750035;574
750036;542
750037;538
750038;598
750039;595
750040;503
750041;545
750042;506
750043;510
750044;524
750045;504
750046;550
750047;502
750048;579
750049;568
750050;575
750051;531
750052;534
750053;517
750054;553
750055;521
750056;579
750057;512
750058;505
750059;536
750060;572
750061;521
750062;520
750063;572
750064;560
750065;563
750066;564
750067;560
750068;515
750069;566
750070;505
750071;592
750072;586
750073;540
750074;585
750075;585
750076;541
750077;553
750078;545
750079;590
750080;563
750081;598
750082;583
750083;560
750084;558
750085;528
750086;515
750087;548
750088;569
750089;502
750090;585
750091;566
750092;513
750093;571
750094;549
750095;542
750096;513
750097;538
750098;549
750099;535
750100;503
750101;577
750102;572
750103;589
750104;527
750105;550
750106;559
750107;565
750108;586
750109;552
750110;542
750111;549
750112;522
750113;598
750114;573
750115;571
750116;574
750117;502
750118;524
750119;597
750120;515
750121;564
750122;538
750123;503
750124;573
750125;591
750126;577
750127;555
750128;537
750129;509
750130;548
750131;503
750132;505
750133;509
750134;572
750135;581
750136;533
750137;505
750138;587
750139;575
750140;581
750141;512
750142;509
750143;590
750144;525
750145;503
750146;519
750147;590
750148;581
750149;591
750150;576
750151;509
750152;500
750153;556
750154;544
750155;570
750156;554
750157;592
750158;504
750159;560
750160;533
750161;562
750162;561
750163;540
750164;503
750165;596
750166;593
750167;591
750168;586
750169;567
750170;508
750171;573
750172;575
750173;571
750174;553
750175;513
750176;595
750177;543
750178;600
750179;532
750180;581
750181;572
750182;573
750183;519
750184;546
750185;515
750186;563
750187;524
750188;583
750189;509
750190;505
750191;511
750192;510
750193;551
750194;560
750195;501
750196;524
750197;586
750198;532
750199;561
750200;523
750201;552
750202;542
750203;583
750204;564
750205;589
750206;583
750207;530
750208;559
750209;559
750210;506
750211;512
750212;569
750213;504
750214;582
750215;595
750216;572
750217;528
750218;582
750219;545
750220;539
750221;502
750222;504
750223;586
750224;518
750225;553
750226;562
750227;545
750228;564
750229;503
750230;576
750231;500
750232;563
750233;590
750234;584
750235;586
750236;590
750237;543
750238;554
750239;519
750240;583
750241;542
750242;547
750243;532
750244;500
750245;515
750246;568
750247;572
750248;563
750249;559
750250;582
750251;527
750252;528
750253;540
750254;542
750255;548
750256;530
750257;506
750258;570
750259;505
750260;584
750261;505
750262;506
750263;584
750264;551
750265;555
750266;511
750267;532
750268;562
750269;574
750270;519
750271;513
750272;534
750273;532
750274;591
750275;521
750276;512
750277;546
750278;592
750279;600
750280;558
750281;503
750282;535
750283;525
750284;540
750285;548
750286;542
750287;521
750288;587
750289;523
750290;573
750291;524
750292;575
750293;555
750294;534
750295;543
750296;517
750297;516
750298;579
750299;532
750300;540
750301;556
750302;513
750303;505
750304;533
750305;597
750306;550
750307;589
750308;507
750309;592
750310;510
750311;555
750312;520
750313;597
750314;524
750315;506
750316;542
750317;533
750318;533
750319;600
750320;551
750321;536
750322;595
750323;547
750324;533
750325;579
750326;540
750327;576
750328;565
750329;508
750330;553
750331;548
750332;522
750333;535
750334;545
750335;577
750336;545
750337;529
750338;591
750339;548
750340;564
750341;518
750342;527
750343;576
750344;540
750345;504
750346;592
750347;533
750348;545
750349;511
750350;551
750351;505
750352;574
750353;551
750354;588
750355;502
750356;550
750357;583
750358;584
750359;513
750360;536
750361;576
750362;558
750363;596
750364;553
750365;596
750366;559
750367;513
750368;591
750369;507
750370;571
750371;535
750372;592
750373;523
750374;539
750375;514
750376;501
750377;583
750378;566
750379;501
750380;517
750381;551
750382;578
750383;544
750384;526
750385;559
750386;573
750387;552
750388;585
750389;572
750390;537
750391;516
750392;535
750393;554
750394;564
750395;570
750396;550
750397;543
750398;521
750399;550
750400;597
750401;533
750402;527
750403;558
750404;513
750405;582
750406;588
750407;507
750408;541
750409;540
750410;513
750411;534
750412;527
750413;502
750414;506
750415;559
750416;503
750417;556
750418;560
750419;543
750420;574
750421;537
750422;562
750423;563
750424;523
750425;538
750426;544
750427;595
750428;588
750429;546
750430;526
750431;538
750432;535
750433;558
750434;598
750435;545
750436;511
750437;579
750438;554
750439;526
750440;566
750441;507
750442;586
750443;595
750444;520
750445;590
750446;584
750447;510
750448;542
750449;509
750450;598
750451;507
750452;551
750453;531
750454;581
750455;528
750456;592
750457;586
750458;508
750459;530
750460;522
750461;596
750462;525
750463;549
750464;514
750465;568
750466;553
750467;501
750468;584
750469;570
750470;580
750471;558
750472;569
750473;596
750474;508
750475;534
750476;599
750477;539
750478;512
750479;507
750480;557
750481;527
750482;522
750483;500
750484;553
750485;514
750486;502
750487;520
750488;504
750489;589
750490;592
750491;504
750492;505
750493;595
750494;571
750495;510
750496;573
750497;581
750498;503
750499;586
750500;566
750501;553
750502;590
750503;542
750504;521
750505;589
750506;592
750507;562
750508;584
750509;552
750510;591
750511;511
750512;558
750513;571
750514;558
750515;530
750516;598
750517;597
750518;527
750519;511
750520;571
750521;520
750522;527
750523;558
750524;500
750525;526
750526;530
750527;561
750528;532
750529;514
750530;571
750531;550
750532;553
750533;536
750534;536
750535;581
750536;527
750537;582
750538;532
750539;551
750540;527
750541;565
750542;583
750543;520
750544;597
750545;565
750546;558
750547;522
750548;584
750549;531
750550;518
750551;581
750552;529
750553;590
750554;572
750555;598
750556;569
750557;546
750558;585
750559;594
750560;562
750561;523
750562;550
750563;591
750564;559
750565;555
750566;545
750567;561
750568;566
750569;505
750570;523
750571;563
750572;502
750573;570
750574;571
750575;583
750576;594
750577;595
750578;579
750579;506
750580;537
750581;519
750582;558
750583;544
750584;585
750585;551
750586;559
750587;590
750588;599
750589;596
750590;561
750591;581
750592;544
750593;562
750594;572
750595;548
750596;543
750597;535
750598;566
750599;549
750600;519
750601;523
750602;595
750603;507
750604;525
750605;557
750606;595
750607;590
750608;552
750609;554
750610;599
750611;574
750612;547
750613;528
750614;540
750615;551
750616;582
750617;530
750618;538
750619;533
750620;567
750621;514
750622;515
750623;576
750624;523
750625;592
750626;545
750627;579
750628;565
750629;506
750630;535
750631;509
750632;576
750633;511
750634;560
750635;540
750636;549
750637;531
750638;563
750639;536
750640;509
750641;594
750642;585
750643;554
750644;540
750645;598
750646;554
750647;529
750648;582
750649;543
750650;556
750651;580
750652;581
750653;572
750654;507
750655;576
750656;553
750657;526
750658;536
750659;590
750660;569
750661;500
750662;536
750663;529
750664;511
750665;509
750666;543
750667;515
750668;581
750669;547
750670;600
750671;541
750672;586
750673;568
750674;571
750675;588
750676;534
750677;583
750678;556
750679;574
750680;576
750681;518
750682;551
750683;585
750684;539
750685;580
750686;533
750687;506
750688;560
750689;555
750690;580
750691;526
750692;582
750693;525
750694;519
750695;501
750696;547
750697;567
750698;554
750699;521
750700;579
750701;542
750702;558
750703;600
750704;561
750705;534
750706;524
750707;547
750708;591
750709;552
750710;572
750711;594
750712;516
750713;534
750714;570
750715;529
750716;543
750717;539
750718;586
750719;557
750720;503
750721;583
750722;519
750723;570
750724;523
750725;507
750726;524
750727;511
750728;530
750729;599
750730;527
750731;535
750732;563
750733;575
750734;546
750735;593
750736;591
750737;543
750738;585
750739;508
750740;525
750741;550
750742;580
750743;572
750744;578
750745;502
750746;538
750747;507
750748;560
750749;576
750750;525
750751;527
750752;509
750753;526
750754;562
750755;575
750756;542
750757;541
750758;511
750759;583
750760;560
750761;506
750762;565
750763;571
